Category L1,Category L2,Category L3,Grade Precedence,Grade,Item Condition,Functional,Physical Condition,Packaging Condition,Accessories
Computers Peripherals,Mobile Computing,Apple,,,,,,,
Imaging,Imaging Accessories,Photo Paper,,,,,,,
Imaging,Digital Cameras,Photo Printers,,,,,,,
Computers Peripherals,Mobile Computing,Entry Consignment,,,,,,,
Computers Peripherals,Desktops,PC Desktop - Mainstream,,,,,,,
Computers Peripherals,Desktops,PC Desktop - Premium,,,,,,,
Computers Peripherals,Desktops,PC Desktop - iMACs,,,,,,,
Communication,Calculators,PDA Accessories,,,,,,,
Entertainment,TV LCD,"LCD TFT 46-47""",,,,,,,
Computers Peripherals,Desktops,PC Monitors,,,,,,,
Communication,Calculators,Calculators,,,,,,,
Communication,Phones Mobile,Demo Mobiles,,,,,,,
Communication,Phones Mobile,Mobiles CDMA - Premium,,,,,,,
Entertainment,TV LCD,LCD Accessories_H,,,,,,,
Entertainment,TV LCD,LED Wall Mounting Accessories,,,,,,,
Entertainment,TV LCD,"LCD TFT 52"" AND ABOVE",,,,,,,
Entertainment,TV LCD,"LED Panels 32""",,,,,,,
Entertainment,TV LCD,"LED Panels 40""",,,,,,,
Entertainment,TV LCD,"LED Panels 46""",,,,,,,
Entertainment,TV LCD,"LED Panels 55""",,,,,,,
Imaging,Digital Cameras,Advanced Cameras,,,,,,,
Imaging,Imaging Accessories,Binoculars,,,,,,,
Imaging,Imaging Accessories,Lens - SLR Cameras,,,,,,,
Imaging,Digital Cameras,Basic Cameras,,,,,,,
Imaging,Digital Cameras,Prosumer Cameras,,,,,,,
Imaging,Digital Cameras,DSLR Cameras,,,,,,,
Imaging,DSLR Cameras,DSLR Mid Range,,,,,,,
Imaging,Camcorders,Camcorders - HDD,,,,,,,
Imaging,Camcorders,Camcorders - HD,,,,,,,
Computers Peripherals,Desktops,PC Desktop - Net Top,,,,,,,
Computers Peripherals,Mobile Computing,Gaming-Laptops,,,,,,,
Computers Peripherals,Monitors,"Monitors - TFT 19""",,,,,,,
Computers Peripherals,Tablets & Detachables,E-Reader,,,,,,,
Computers Peripherals,Monitors,"Monitors - TFT 22""",,,,,,,
Computers Peripherals,Monitors,"Monitors - TFT 24""",,,,,,,
Computers Peripherals,Monitors,Monitors - Specials,,,,,,,
Computers Peripherals,Desktops,PC Desktop-iMACs-D,,,,,,,
