Parent Category Name(L1),Category Name (L2),Sub Category Name (L3),SubSubCategoryName (L4),Sub Category Name (L5),Sub Category Name (L6),BB Category File,Item detail,Compatible SKU Node,Compatible SKU Node Brand,Compatible SKU Node Model,Part Number,Serial Number 1,Serial Number 2,Capacity,Power Rating,Power (Watts),Number of Blades,Length of Blades,Color,Resolution in Mega Pixel,Optical Zoom,Number of speakers,"Connectivity Compatibility (Internet, Bluetooth, USB)",Storage (in GB),HDD (in GB),SSD (in GB),RAM (in GB),Resolution in (AXB),Back Camera Resolution (in MP),Front Camera Resolution (in MP),Music Playback time,Processor (IT),Processor (Mobile & Tablet),OS,OS Sticker,Screen Size (in Inches),Age Group,Type of Fabric,Fitting Apparel,Pattern Apparel,Size,Sleeve,Weight,Volume or Capacity (in ml),Power output (in watts) Speaker,Sound output Range (in Hz) Speaker,Type Television,Blower function,Suction Power (in watts),Type of Washing Machine Function,Type of Wshing Machine Load,Type of Washing Machine Washing,Washing System,Flavour,Functions Printer,Device chipset projector,Distance (in mtrs) Projector,Lamp life (in hours) Projector,Maximum Brightness (in lm) Projector,Resolution,Back up (in mins) UPS,Battery UPS,Type of cooking Microwave,Number of doors (Refrigerator),Type of Sandwitch,Capacity (in number),Type of technology Water Purifier,Fragarance,Material,Size Furniture,Number of Jars,Expiry Date,Number of HDD
Electronics and Appliances,Home Appliances,Video or PC Game Accessories,,,,default,11,11,11,11,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Home Appliances,Video or PC Game CD or DVD,,,,default,11,11,11,11,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Home Appliances,Video or PC Game Others,,,,default,11,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Home Appliances,Video or PC Game Player,,,,default,,,,,,1,1,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Home Appliances,Washing Machine,,,,washing_machine ,,,,,,1,1,11,11,11,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Home Appliances,Water heater,,,,default,,,,,,1,1,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Kitchen appliances,Accessories Kitchen appliances,,,,default,11,11,11,11,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Kitchen appliances,Electric Chimney,,,,default,,,,,,1,1,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Kitchen appliances,Electric Tandoor,,,,default,,,,,,1,1,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Kitchen appliances,Food processor,,,,default,,,,,,1,1,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,
Electronics and Appliances,Kitchen appliances,Induction plate/ Cooktop,,,,default,,,,,,1,1,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Kitchen appliances,Juicer Mixer Grinder,,,,default,,,,,,1,1,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,
Electronics and Appliances,Kitchen appliances,Microwave,,,,oven,,,,,,1,1,11,11,11,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
Electronics and Appliances,Kitchen appliances,Mixer Grinder,,,,default,,,,,,1,1,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,
Electronics and Appliances,Kitchen appliances,Others,,,,default,11,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Kitchen appliances,Refrigerator,,,,refrigerator ,,,,,,1,1,11,11,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
Electronics and Appliances,Kitchen appliances,Rice cooker,,,,default,,,,,,1,1,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Kitchen appliances,Roti Maker,,,,default,,,,,,1,1,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Kitchen appliances,Sandwitch maker,,,,default,,,,,,1,1,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,,,,,,
Electronics and Appliances,Kitchen appliances,Spares Kitchen appliances,,,,default,11,11,11,11,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Kitchen appliances,Toaster,,,,default,,,,,,1,1,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
Electronics and Appliances,Kitchen appliances,Water Cooler,,,,default,,,,,,1,1,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Kitchen appliances,Water purifier,,,,default,,,,,,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
Electronics and Appliances,Mobiles and Tablets,Accessories mobiles and Tablets,Charger,,,default,,11,11,11,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Mobiles and Tablets,Accessories mobiles and Tablets,Data Cable,,,default,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Mobiles and Tablets,Accessories mobiles and Tablets,Earphone or Headphone,In-Ear Earphone or Headphone,,earphone ,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Mobiles and Tablets,Accessories mobiles and Tablets,Earphone or Headphone,On-Ear Earphone or Headphone,,earphone ,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Mobiles and Tablets,Accessories mobiles and Tablets,Memory card,,,default,,,,,,1,1,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Mobiles and Tablets,Accessories mobiles and Tablets,Mobile case and cover,,,default,,11,11,11,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Mobiles and Tablets,Accessories mobiles and Tablets,Others,,,default,11,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Mobiles and Tablets,Accessories mobiles and Tablets,Power bank,,,default,,,,,,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Mobiles and Tablets,Accessories mobiles and Tablets,Screen guard,,,default,,11,11,11,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Mobiles and Tablets,Accessories mobiles and Tablets,Selfie stick,,,default,,,,,,1,1,,,,,,11,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Mobiles and Tablets,Accessories mobiles and Tablets,USB Cable,,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Mobiles and Tablets,Mobile,,,,mobiles ,11,,,,,1,1,,,,,,11,,,,,11,,,11,11,11,11,,,11,11,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Mobiles and Tablets,Others,,,,default,11,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Mobiles and Tablets,Spares mobiles and Tablets,Mobile Battery,,,default,,11,11,11,11,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Mobiles and Tablets,Spares mobiles and Tablets,Mobile Mother Board,,,default,,11,11,11,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Mobiles and Tablets,Spares mobiles and Tablets,Others,,,default,11,11,11,11,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics and Appliances,Mobiles and Tablets,Spares mobiles and Tablets,Tablet Mother Board,,,default,,11,11,11,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
