Parent Category Name(L1),Category Name (L2),Sub Category Name (L3),SubSubCategoryName (L4),Sub Category Name (L5),Sub Category Name (L6),BB Category File,Item detail,Compatible SKU Node,Compatible SKU Node Brand,Compatible SKU Node Model,Part Number,Serial Number 1,Serial Number 2,Capacity,Power Rating,Power (Watts),Number of Blades,Length of Blades,Color,Resolution in Mega Pixel,Optical Zoom,Number of speakers,"Connectivity Compatibility (Internet, Bluetooth, USB)",Storage (in GB),HDD (in GB),SSD (in GB),RAM (in GB),Resolution in (AXB),Back Camera Resolution (in MP),Front Camera Resolution (in MP),Music Playback time,Processor (IT),Processor (Mobile & Tablet),OS,OS Sticker,Screen Size (in Inches),Age Group,Type of Fabric,Fitting Apparel,Pattern Apparel,Size,Sleeve,Weight,Volume or Capacity (in ml),Power output (in watts) Speaker,Sound output Range (in Hz) Speaker,Type Television,Blower function,Suction Power (in watts),Type of Washing Machine Function,Type of Wshing Machine Load,Type of Washing Machine Washing,Washing System,Flavour,Functions Printer,Device chipset projector,Distance (in mtrs) Projector,Lamp life (in hours) Projector,Maximum Brightness (in lm) Projector,Resolution,Back up (in mins) UPS,Battery UPS,Type of cooking Microwave,Number of doors (Refrigerator),Type of Sandwitch,Capacity (in number),Type of technology Water Purifier,Fragarance,Material,Size Furniture,Number of Jars,Expiry Date,Number of HDD
Fashion and Style,Apparel,Kid's wear,Boys Clothing,Shirt,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Casual dresses,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Frocks,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Capris,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Ethnic wear,Kurtis,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Ethnic wear,Lenhanga Choli,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Ethnic wear,Others,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Ethnic wear,Party Gown,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Ethnic wear,Suit set,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Infant wear,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Inner wear,Girl's Banyan/ Vests,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Inner wear,Girl's Night wear,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Inner wear,Girl's Swim wear,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Inner wear,Girl's Track wear,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Inner wear,Others,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Inner wear,Panty,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Jackets,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Jeans,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Leggings,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Shorts,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's T-Shirt,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Trousers,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Girl's Twin set,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Others,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Skirt,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Girl's Clothing,Tops,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Kid's wear,Others,,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Formal wear,Blazer/ Coat,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Formal wear,Formal Shirt,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Formal wear,Formal Trouser,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Formal wear,Men's Socks,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Formal wear,Others,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Formal wear,Suit,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Formal wear,Tie,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Casual wear,Casual Shirts,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Casual wear,Casual Trousers,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Casual wear,Men's Jeans,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Casual wear,Men's T-Shirt,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Casual wear,Others,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Comfort wear,Men's 3/4ths,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Comfort wear,Men's Night Suit,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Comfort wear,Men's Shorts,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Comfort wear,Others,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Comfort wear,Tees,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Ethnic wear,Dhoti,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Ethnic wear,Ethnic Jacket,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Ethnic wear,Kurta Pyjama,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Ethnic wear,Men's Kurta,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Ethnic wear,Others,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Ethnic wear,Pyjama,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Ethnic wear,Sherwani,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Inner wear,Men's Banyan/ Vests,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Inner wear,Others,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Inner wear,Trunk,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Inner wear,Underwear,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Sports wear,Men's Sports T-Shirts,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Sports wear,Men's Track pants,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Sports wear,Others,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Sports wear,Sports Jersey,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Winter wear,Men's Jackets,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Winter wear,Men's Sweat shirts,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Winter wear,Men's Sweater,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Winter wear,Men's Thermals,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Winter wear,Others,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Men's Winter wear,Wind sheater,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Men's wear,Others,,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Others,,,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Others,,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Casual wear,Evening Gown,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Casual wear,Maxi,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Casual wear,Midi,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Casual wear,Others,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Casual wear,Skirts,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Casual wear,Top,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Casual wear,Women's Capris,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Casual wear,Women's Jeans,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Casual wear,Women's Leggings,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Casual wear,Women's Shorts,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Casual wear,Women's T-Shirt,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Casual wear,Women's Trousers,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Comfort wear,Maternity wear,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Ethnic wear,Blouse,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Ethnic wear,Chudidar,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Ethnic wear,Dress material,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Ethnic wear,Kurti,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Ethnic wear,Lenhanga,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Ethnic wear,Others,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Ethnic wear,Salwar,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Ethnic wear,Saree,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Ethnic wear,Suit piece,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Ethnic wear,Women's Kurta,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Inner wear,Bra,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Inner wear,Others,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Inner wear,Panty,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Inner wear,Shape wear,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Inner wear,Sports bra,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Inner wear,Women's Night wear/ Nighty,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Inner wear,Women's Swim wear,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Sports wear,Others,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Sports wear,Tights,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Sports wear,Women's Sports T-Shirts,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Sports wear,Women's Track pants,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Winter wear,Others,,default,11,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Winter wear,Shrugs,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Winter wear,Women's Jackets,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Winter wear,Women's Sweat shirts,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Winter wear,Women's Sweater,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Apparel,Women's wear,Women's Winter wear,Women's Thermals,,default,,,,,,1,1,,,,,,11,,,,,,,,,,,,,,,,,,1,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion and Style,Beauty and Grooming products,Baby Care,Baby Body Oil,,,default,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
Fashion and Style,Beauty and Grooming products,Baby Care,Baby Hair Oil,,,default,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
Fashion and Style,Beauty and Grooming products,Baby Care,Baby Shampoo,,,default,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
Fashion and Style,Beauty and Grooming products,Baby Care,Baby soap,,,default,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
Fashion and Style,Beauty and Grooming products,Baby Care,Others,,,default,11,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
Fashion and Style,Beauty and Grooming products,Bath and Body - Men,After shave,,,default,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,11,11,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
Fashion and Style,Beauty and Grooming products,Bath and Body - Men,Men's Body lotion,,,default,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,11,11,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
Fashion and Style,Beauty and Grooming products,Bath and Body - Men,Men's Body oil,,,default,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,11,11,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
Fashion and Style,Beauty and Grooming products,Bath and Body - Men,Men's Shower gel,,,default,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,11,11,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
