Category L1,Category L2,Category L3,ID,Test Type,Test,Options,Output,Route,Picture,Annotation,Annotation Label,Annotations,Picture Labels,Precedence,Precedence Name
Large Appliances,Air Conditioners,Portable Air Conditioners,Ref_15,Physical Condition,Major Damage Position,Front,Front Major Damage,Ref_45,No,No,,,,NA/No Damage/No Dent/No Scratches/Minor Damage/Front Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/Major Dent/Front Major Dent /Side Major Dent/Back Major Dent/Top Major Dent/Front Major Scratches /Side Major Scratches/Major Damage/Front Major Damage/Side Major Damage/Top Major Damage/Back Major Damage/No Screen Damage/No Screen Scratches/Minor Screen Damage/Minor Screen Scratches/Major Screen Damage/Major Screen Scratches,Physical
Large Appliances,Air Conditioners,Air Conditioner Accesories Kit,Ref_16,Physical Condition,Major Damage Position,Side,Side Major Damage,Ref_45,No,No,,,,NA/No Damage/No Dent/No Scratches/Minor Damage/Front Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/Major Dent/Front Major Dent /Side Major Dent/Back Major Dent/Top Major Dent/Front Major Scratches /Side Major Scratches/Major Damage/Front Major Damage/Side Major Damage/Top Major Damage/Back Major Damage/No Screen Damage/No Screen Scratches/Minor Screen Damage/Minor Screen Scratches/Major Screen Damage/Major Screen Scratches,Physical
Large Appliances,Refrigerators,Refrigerator Kits,Ref_17,Physical Condition,Major Damage Position,Top,Top Major Damage,Ref_45,No,No,,,,NA/No Damage/No Dent/No Scratches/Minor Damage/Front Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/Major Dent/Front Major Dent /Side Major Dent/Back Major Dent/Top Major Dent/Front Major Scratches /Side Major Scratches/Major Damage/Front Major Damage/Side Major Damage/Top Major Damage/Back Major Damage/No Screen Damage/No Screen Scratches/Minor Screen Damage/Minor Screen Scratches/Major Screen Damage/Major Screen Scratches,Physical
Large Appliances,Refrigerators,Refrigerator Frost Free more than 400L,Ref_18,Physical Condition,Major Damage Position,Back,Back Major Damage,Ref_45,No,No,,,,NA/No Damage/No Dent/No Scratches/Minor Damage/Front Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/Major Dent/Front Major Dent /Side Major Dent/Back Major Dent/Top Major Dent/Front Major Scratches /Side Major Scratches/Major Damage/Front Major Damage/Side Major Damage/Top Major Damage/Back Major Damage/No Screen Damage/No Screen Scratches/Minor Screen Damage/Minor Screen Scratches/Major Screen Damage/Major Screen Scratches,Physical
Large Appliances,Refrigerators,Refrigerator Consignment,Ref_19,Physical Condition,Minor Damage Position,Front,Front Minor Damage,Ref_23,No,No,,,,NA/No Damage/No Dent/No Scratches/Minor Damage/Front Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/Major Dent/Front Major Dent /Side Major Dent/Back Major Dent/Top Major Dent/Front Major Scratches /Side Major Scratches/Major Damage/Front Major Damage/Side Major Damage/Top Major Damage/Back Major Damage/No Screen Damage/No Screen Scratches/Minor Screen Damage/Minor Screen Scratches/Major Screen Damage/Major Screen Scratches,Physical
Large Appliances,Air Conditioners,ExWty- Air Conditioners,Ref_20,Physical Condition,Minor Damage Position,Side,Side Minor Damage,Ref_23,No,No,,,,NA/No Damage/No Dent/No Scratches/Minor Damage/Front Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/Major Dent/Front Major Dent /Side Major Dent/Back Major Dent/Top Major Dent/Front Major Scratches /Side Major Scratches/Major Damage/Front Major Damage/Side Major Damage/Top Major Damage/Back Major Damage/No Screen Damage/No Screen Scratches/Minor Screen Damage/Minor Screen Scratches/Major Screen Damage/Major Screen Scratches,Physical
Large Appliances,Dishwashers,ExWty- Dishwashers,Ref_21,Physical Condition,Minor Damage Position,Top,Top Minor Damage,Ref_23,No,No,,,,NA/No Damage/No Dent/No Scratches/Minor Damage/Front Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/Major Dent/Front Major Dent /Side Major Dent/Back Major Dent/Top Major Dent/Front Major Scratches /Side Major Scratches/Major Damage/Front Major Damage/Side Major Damage/Top Major Damage/Back Major Damage/No Screen Damage/No Screen Scratches/Minor Screen Damage/Minor Screen Scratches/Major Screen Damage/Major Screen Scratches,Physical
Large Appliances,Refrigerators,ExWty- Refrigerators,Ref_22,Physical Condition,Minor Damage Position,Back,Back Minor Damage,Ref_23,No,No,,,,NA/No Damage/No Dent/No Scratches/Minor Damage/Front Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/Major Dent/Front Major Dent /Side Major Dent/Back Major Dent/Top Major Dent/Front Major Scratches /Side Major Scratches/Major Damage/Front Major Damage/Side Major Damage/Top Major Damage/Back Major Damage/No Screen Damage/No Screen Scratches/Minor Screen Damage/Minor Screen Scratches/Major Screen Damage/Major Screen Scratches,Physical
Large Appliances,Washing Machines,ExWty- Washing Machines,Ref_23,Physical Condition,Dent,Major Dent,Major Dent,Ref_26,No,No,,,,NA/No Damage/No Dent/No Scratches/Minor Damage/Front Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/Major Dent/Front Major Dent /Side Major Dent/Back Major Dent/Top Major Dent/Front Major Scratches /Side Major Scratches/Major Damage/Front Major Damage/Side Major Damage/Top Major Damage/Back Major Damage/No Screen Damage/No Screen Scratches/Minor Screen Damage/Minor Screen Scratches/Major Screen Damage/Major Screen Scratches,Physical
Large Appliances,Dryers,ExWty- Dryers,Ref_24,Physical Condition,Dent,Minor Dent,Minor Dent,Ref_30,No,No,,,,NA/No Damage/No Dent/No Scratches/Minor Damage/Front Minor Damage/Side Minor Damage/Top Minor Damage/Back Minor Damage/Minor Dent/Front Minor Dent /Side Minor Dent/Back Minor Dent/Top Minor Dent/Minor Scratches/Front Minor Scratches /Side Minor Scratches/Back Minor Scratches/Top Minor Scratches/Major Scratches/Back Major Scratches/Top Major Scratches/Major Dent/Front Major Dent /Side Major Dent/Back Major Dent/Top Major Dent/Front Major Scratches /Side Major Scratches/Major Damage/Front Major Damage/Side Major Damage/Top Major Damage/Back Major Damage/No Screen Damage/No Screen Scratches/Minor Screen Damage/Minor Screen Scratches/Major Screen Damage/Major Screen Scratches,Physical
