Client Category L1,Client Category L2,Client Category L3,Category L1,Category L2,Category L3,Category L4,Category L5,Category L6,Bmaxx Parent,Bmaxx Child
Computers Peripherals,Tablets & Detachables,SP- Tablets,Electronics and Appliances,Mobiles and Tablets,Tablets,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Mobile Computing,SP - Mobile Computing,Others,,,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Desktops,SP- Desktop,IT,Desktop and Laptop,Desktop,Desktop Full Set,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,SP - Television,Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Gaming Laptops,ExWty- Gaming Laptops,IT,Desktop and Laptop,Laptop,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Mass Premium Phones,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Entry,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Value Phone-D,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Value Phones,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Mass Premium Phones - D,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Premium Phones,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Entry-D,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Flagship Phones,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Premium Phones-D,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Smart Phones (OS Based),Flagship Phones-D,Electronics and Appliances,Mobiles and Tablets,Mobile,,,,Mobiles and Tablets,Mobile
Communication,Lifestyle & Wearables,Ins - Smart watches,Electronics and Appliances,Personal care appliances,Smart Watch,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Tablets & Detachables,Graphic Tablet,Electronics and Appliances,Mobiles and Tablets,Tablets,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Monitors,Monitors - 27 & Above_H,IT,Desktop and Laptop,Accessories Desktop and Laptop,Monitor,,,Mobiles and Tablets,Mobile
Entertainment,TV LCD,"LED Panels 75""+",Electronics and Appliances,Home Appliances,Television,,,,Mobiles and Tablets,Mobile
Small Appliances,Health & Personal Care,Hair Care,Electronics and Appliances,Personal care appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Air Purifier,Air Purifier Accessories,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Small Appliances,Kitchen Appliances,Flourmill,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Kitchen Appliances,Juicers/Choppers/Blenders,Electronics and Appliances,Kitchen appliances,Juicer Mixer Grinder,,,,Mobiles and Tablets,Mobile
Small Appliances,Fans,Table / Pedestal Fans,Electronics and Appliances,Home Appliances,Table Fan,,,,Mobiles and Tablets,Mobile
Small Appliances,Fans,Tower Fans,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Fans,Ceiling Fans,Electronics and Appliances,Home Appliances,Ceiling Fan,,,,Mobiles and Tablets,Mobile
Small Appliances,Cooling & Heating Appliances,Room Coolers,Electronics and Appliances,Home Appliances,Air Cooler,,,,Mobiles and Tablets,Mobile
Small Appliances,Cooling & Heating Appliances,Room Heaters,Electronics and Appliances,Home Appliances,Room heater,,,,Mobiles and Tablets,Mobile
Small Appliances,Cookware,Gas Stoves/Cooktops,Others,Kitchenware,Cooking items,Gas Stove,,,Mobiles and Tablets,Mobile
Small Appliances,Cookware,Hobs,Others,Kitchenware,Cooking items,Gas Stove,,,Mobiles and Tablets,Mobile
Small Appliances,Kitchen Appliances,Induction Cookers,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Cookware,Chimney,Electronics and Appliances,Kitchen appliances,Electric Chimney,,,,Mobiles and Tablets,Mobile
Small Appliances,Cookware,Cooking Range,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Health & Personal Care,Massagers,Electronics and Appliances,Personal care appliances,Massager,,,,Mobiles and Tablets,Mobile
Small Appliances,Health & Personal Care,Well Being,Electronics and Appliances,Personal care appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Health & Personal Care,Male Grooming & Shaving,Electronics and Appliances,Personal care appliances,Electric Shaver,,,,Mobiles and Tablets,Mobile
Small Appliances,Kitchen Appliances,Coffee Makers,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Water Purifiers,Water Dispensers,Electronics and Appliances,Kitchen appliances,Water purifier,,,,Mobiles and Tablets,Mobile
Small Appliances,Kitchen Appliances,Food Preparation,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Home Appliances,Irons,Electronics and Appliances,Home Appliances,Electric Iron,,,,Mobiles and Tablets,Mobile
Small Appliances,Kitchen Appliances,Kettles,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Kitchen Appliances,JMG/MG,Electronics and Appliances,Kitchen appliances,Juicer Mixer Grinder,,,,Mobiles and Tablets,Mobile
Small Appliances,Kitchen Appliances,Kitchenware,Others,Kitchenware,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Health & Personal Care,Female Grooming & Depilation,Electronics and Appliances,Personal care appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Kitchen Appliances,Toasters & Sandwich Makers,Electronics and Appliances,Kitchen appliances,Sandwitch maker,,,,Mobiles and Tablets,Mobile
Small Appliances,Water Purifiers,Water Purifiers UV,Electronics and Appliances,Kitchen appliances,Water purifier,,,,Mobiles and Tablets,Mobile
Small Appliances,Tools,Kits & Accessories,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Small Appliances,Home Appliances,Instant Geysers,Electronics and Appliances,Home Appliances,Water heater,,,,Mobiles and Tablets,Mobile
Small Appliances,Home Appliances,Lighting,Others,Electrical product,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Ovens & Cookers,OTG Less Than 30L,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Ovens & Cookers,Cookers,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Ovens & Cookers,Snackmakers / Fryware,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Power,Invertors,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Power,Door Chimes,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Power,Stabilizer,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Security,Security Accessories,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Small Appliances,Security,CCTV Video Security,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Small Appliances,Security,Fire Saftey,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Small Appliances,Security,IP Range,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Small Appliances,Security,Wired Security Systems,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Small Appliances,Security,Wireless Security Systems,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Small Appliances,Security,Smoke Detectors,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Small Appliances,Security,Electronic Safes,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Small Appliances,Security,Alarm Systems,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Small Appliances,Tools,Cordless Tools,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Small Appliances,Health & Personal Care,Baby Care,Electronics and Appliances,Personal care appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Health & Personal Care,Dental Care,Electronics and Appliances,Personal care appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Home Appliances,Small Vacuum Cleaners,Electronics and Appliances,Home Appliances,Vaccum Cleaner,,,,Mobiles and Tablets,Mobile
Small Appliances,Dummies,Dummies Small Appliances,Others,,,,,,Mobiles and Tablets,Mobile
Communication,Phones Fixed,Phones Corded,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Communication,Phones Fixed,Phones Cordless,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Communication,Phones Fixed,Simcard enabled Fixed Phone,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Communication,Phones Fixed,VoIP Router,IT,Networking products,Router,,,,Mobiles and Tablets,Mobile
Entertainment,Home Theatre,Home Theatre - Low End,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Home Theatre,Home Theatre - Low End_L,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Home Theatre,Home Theatre - High End,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Home Theatre,Sound Bars_L,Electronics and Appliances,Home Appliances,Speaker,,,,Mobiles and Tablets,Mobile
Entertainment,Home Theatre,Sound Bars_H,Electronics and Appliances,Home Appliances,Speaker,,,,Mobiles and Tablets,Mobile
Entertainment,Projectors,Projectors,IT,Projector,,,,,Mobiles and Tablets,Mobile
Entertainment,Kits/Toys,Musical Instrument Toys,Others,Kid's and Baby products,Toys,,,,Mobiles and Tablets,Mobile
Entertainment,Portable BT Speakers/MP3 Players,Speakers - Bluetooth/Portable_L,Electronics and Appliances,Home Appliances,Speaker,,,,Mobiles and Tablets,Mobile
Entertainment,Portable BT Speakers/MP3 Players,I-POD,Electronics and Appliances,Home Appliances,MP3 Player,,,,Mobiles and Tablets,Mobile
Entertainment,Portable BT Speakers/MP3 Players,OTHER MP3 Players,Electronics and Appliances,Home Appliances,MP3 Player,,,,Mobiles and Tablets,Mobile
Entertainment,Audio Systems,Personal Audio_H,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Audio Systems,Portable Radio Cassette & CD,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Audio Systems,Boombox with LCD TV,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Home Theatre,High End Speakers & Amplifiers,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Speakers,Multimedia Speakers_L,Electronics and Appliances,Home Appliances,Speaker,,,,Mobiles and Tablets,Mobile
Entertainment,Speakers,Multimedia Speakers_H,Electronics and Appliances,Home Appliances,Speaker,,,,Mobiles and Tablets,Mobile
Entertainment,Audio Systems,Micro HiFi Systems,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Audio Systems,Mini HiFi Systems,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Printers & Office Solutions,Printers Inkjet,IT,Printer,Inkjet or Deskjet Printer,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Printers & Office Solutions,Printers Laser,IT,Printer,Laserjet Printer,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Printers & Office Solutions,Printers Multi Function,IT,Printer,others,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Printers & Office Solutions,Shredders,IT,Others,,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Tablets & Detachables,Tablets & Detachables - D,Electronics and Appliances,Mobiles and Tablets,Accessories mobiles and Tablets,Others,,,Mobiles and Tablets,Mobile
Entertainment,DVD/VCD/Content,DVD Players - 5.1 Channel,Electronics and Appliances,Home Appliances,DVD Player,,,,Mobiles and Tablets,Mobile
Entertainment,DVD/VCD/Content,DVD Recorders & VCR,Electronics and Appliances,Home Appliances,DVD Player,,,,Mobiles and Tablets,Mobile
Entertainment,DVD/VCD/Content,DVD In Car,Others,Automobile products,Four Wheeler,Four Wheeler Accessories,,,Mobiles and Tablets,Mobile
Computers Peripherals,Storage Media,Harddisk,IT,Desktop and Laptop,Spares and Parts Desktop and Laptop,Hard Disk,,,Mobiles and Tablets,Mobile
Small Appliances,Home Appliances,Large Vacuum Cleaners,Electronics and Appliances,Home Appliances,Vaccum Cleaner,,,,Mobiles and Tablets,Mobile
Computers Peripherals,PC Accessories,Web Cams,IT,Others,,,,,Mobiles and Tablets,Mobile
Computers Peripherals,PC Accessories,Laptop Kit,IT,Desktop and Laptop,Accessories Desktop and Laptop,Others,,,Mobiles and Tablets,Mobile
Computers Peripherals,Networking,Networking N Series,IT,Networking products,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Personal Assistant Speaker,Personal Assistant Speaker,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Ovens & Cookers,Barbecues,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Speakers,DO NOT USE,Others,,,,,,Mobiles and Tablets,Mobile
Small Appliances,Kitchen Appliances,Kitchen Sets & Accessories,Others,Kitchenware,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Security,Personal / Baby Monitors,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Entertainment,Audio Systems,Portable Radio Cassette & CD_L,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Audio Systems,Clock Radios,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Tools,Corded Tools,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Entertainment,Audio Systems,Receivers / Amps,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Computers Peripherals,PC Accessories,PC Speakers,IT,Desktop and Laptop,Accessories Desktop and Laptop,Speaker,,,Mobiles and Tablets,Mobile
Entertainment,Home Theatre,Home Theatre Blue Ray_L,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Cooling & Heating Appliances,Coolers & Warmers,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Water Purifiers,Water Purifiers RO,Electronics and Appliances,Kitchen appliances,Water purifier,,,,Mobiles and Tablets,Mobile
Entertainment,Home Theatre,Home Theatre Blue Ray-High End_L,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Gaming,Gaming Software,X-Box Live,Electronics and Appliances,Home Appliances,Video or PC Game CD or DVD,,,,Mobiles and Tablets,Mobile
Small Appliances,Fans,Exhaust Fan,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Musical Instruments,Drums,Others,Musical instrument,,,,,Mobiles and Tablets,Mobile
Entertainment,Musical Instruments,Guitars,Others,Musical instrument,,,,,Mobiles and Tablets,Mobile
Small Appliances,Kitchen Appliances,Wet Grinders,Electronics and Appliances,Kitchen appliances,Mixer Grinder,,,,Mobiles and Tablets,Mobile
Small Appliances,Home Appliances,Storage Geysers,Electronics and Appliances,Home Appliances,Water heater,,,,Mobiles and Tablets,Mobile
Communication,Phones Fixed,Fixed Wireless Phones - FWP,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Printers & Office Solutions,Ink Tank Printers,IT,Printer,Ink Tank Printer,,,,Mobiles and Tablets,Mobile
Communication,Phones Fixed,Walkie-Talkie,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Entertainment,Audio Systems,Audio Subscriptions,Others,,,,,,Mobiles and Tablets,Mobile
Entertainment,Home Theatre,Home Theatre Blue Ray,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Water Purifiers,Water Purifiers Storage,Electronics and Appliances,Kitchen appliances,Water purifier,,,,Mobiles and Tablets,Mobile
Small Appliances,Fans,ExWty- Fans,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Cookware,ExWty- Cookware,Others,Kitchenware,Cooking items,Others,,,Mobiles and Tablets,Mobile
Small Appliances,Health & Personal Care,ExWty- Healthcare,Electronics and Appliances,Personal care appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Kitchen Appliances,ExWty- Kitchen Appliances,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Audio Systems,ExWty- DJ Speakers,Electronics and Appliances,Home Appliances,Speaker,,,,Mobiles and Tablets,Mobile
Small Appliances,Ovens & Cookers,ExWty- Ovens,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Security,ExWty- Security,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Small Appliances,Tools,ExWty- Tools,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Small Appliances,Home Appliances,ExWty- Vacuums,Electronics and Appliances,Home Appliances,Vaccum Cleaner,,,,Mobiles and Tablets,Mobile
Entertainment,Personal Assistant Speaker,ExWty- Personal Assistant,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Communication,Phones Fixed,ExWty- Phones Fixed,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Entertainment,Home Theatre,ExWty- Home Theatre,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Projectors,ExWty- Projectors,IT,Projector,,,,,Mobiles and Tablets,Mobile
Entertainment,Speakers,ExWty- Speakers,Electronics and Appliances,Home Appliances,Speaker,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Networking,ExWty- Router,IT,Networking products,Router,,,,Mobiles and Tablets,Mobile
Entertainment,Audio Systems,ExWty- Audio Systems,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Gaming,Gaming Hardware,ExWty- Gaming Hardware,Electronics and Appliances,Home Appliances,Video or PC Game Player,,,,Mobiles and Tablets,Mobile
Small Appliances,Power,ExWty- Stabilizer,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Printers & Office Solutions,ExWty- Printers & Office Soln,IT,Printer,others,,,,Mobiles and Tablets,Mobile
Small Appliances,Kitchen Appliances,Do not Use,Others,,,,,,Mobiles and Tablets,Mobile
Small Appliances,Kitchen Appliances,Waste Treatment,Others,Cleaning,Home cleaning,Kitchen Cleaner,,,Mobiles and Tablets,Mobile
Entertainment,Portable BT Speakers/MP3 Players,Speakers - Bluetooth/Portable_H,Electronics and Appliances,Home Appliances,Speaker,,,,Mobiles and Tablets,Mobile
Entertainment,Home Theatre,Home Theatre Blue Ray-High End,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Home Appliances,Robotic Vacuum Cleaners,Electronics and Appliances,Home Appliances,Vaccum Cleaner,,,,Mobiles and Tablets,Mobile
Small Appliances,Ovens & Cookers,OTG More Than 30L,Electronics and Appliances,Kitchen appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Cookware,Cookware Accessories,Others,Kitchenware,Cooking items,Others,,,Mobiles and Tablets,Mobile
Small Appliances,Water Purifiers RO,Water Purifiers RO,Electronics and Appliances,Kitchen appliances,Water purifier,,,,Mobiles and Tablets,Mobile
Small Appliances,Cookware,Built in_L,Others,,,,,,Mobiles and Tablets,Mobile
Small Appliances,Health & Personal Care,Massagers & Electrotherapy Devices,Electronics and Appliances,Personal care appliances,Massager,,,,Mobiles and Tablets,Mobile
Entertainment,Projectors,Portable,IT,Projector,,,,,Mobiles and Tablets,Mobile
Entertainment,Kits/Toys,Remote Control Cars,Others,Kid's and Baby products,Toys,,,,Mobiles and Tablets,Mobile
Small Appliances,Cookware,Built in_H,Others,,,,,,Mobiles and Tablets,Mobile
Gaming,Gaming Hardware,Sony Play Station - 4 Hardware,Electronics and Appliances,Home Appliances,Video or PC Game Player,,,,Mobiles and Tablets,Mobile
Gaming,Gaming Software,Sony Play Station - 4 Games,Electronics and Appliances,Home Appliances,Video or PC Game CD or DVD,,,,Mobiles and Tablets,Mobile
Entertainment,Audio Systems,DJ MACHINE_H,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Imaging,Digital Cameras,Digicam Educational Kit,Others,Stationery,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Audio Systems,DJ MACHINE_L,Electronics and Appliances,Others,,,,,Mobiles and Tablets,Mobile
Small Appliances,Air Purifier,Room Air Purifier,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Connected Homes & Housewares,Smart Lighting,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Water Purifiers,ExWty-Water Purifiers,Electronics and Appliances,Kitchen appliances,Water purifier,,,,Mobiles and Tablets,Mobile
Small Appliances,Home Appliances,ExWty - Home Appliances,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Cooling & Heating Appliances,ExWty- Cooling & Heating Appliances,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Air Purifier,Portable Air Purifier,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Health & Personal Care,Weighing Scales,Electronics and Appliances,Personal care appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Air Purifier,Car Air Purifier,Others,Automobile products,Four Wheeler,Four Wheeler Accessories,,,Mobiles and Tablets,Mobile
Small Appliances,Connected Homes & Housewares,Smart Securities & Door Locks,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Connected Homes & Housewares,Security Camera & Surveillance,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Health & Personal Care,Skincare - Male,Electronics and Appliances,Personal care appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Connected Homes & Housewares,Home Automation Systems,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Connected Homes & Housewares,Smart Appliance Controls,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Audio Systems,Personal Audio_L,Electronics and Appliances,Home Audio,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Air Purifier,ExWty- Air Purifiers,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Gaming,Gaming Software,Sony Play Station - 4 Games consign,Electronics and Appliances,Home Appliances,Video or PC Game CD or DVD,,,,Mobiles and Tablets,Mobile
Entertainment,Portable BT Speakers/MP3 Players,ExWty- Speakers - Bluetooth/Portable,Electronics and Appliances,Home Appliances,Speaker,,,,Mobiles and Tablets,Mobile
Small Appliances,Connected Homes & Housewares,Accessories,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Connected Homes & Housewares,Security Camera & Surveillance_L,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Connected Homes & Housewares,Home Alarms & Sensors,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Consumables,Kitchen & Personal Accessories,Others,,,,,,Mobiles and Tablets,Mobile
Entertainment,Personal Assistant Speaker,Personal Assistant Speaker Standee,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Small Appliances,Power,Power Board / Double adaptors,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Computers Peripherals,PC Accessories,UPS,IT,UPS,,,,,Mobiles and Tablets,Mobile
Small Appliances,Kitchen Appliances,Kitchen Sets & Accessories_L,Others,Kitchenware,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Home Appliances,Accessories_L,Electronics and Appliances,Home Appliances,Accessories Home Appliances,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Refurbished-PC,PC,IT,Desktop and Laptop,Desktop,Desktop Full Set,,,Mobiles and Tablets,Mobile
Small Appliances,Health & Personal Care,Smart Health Devices,Electronics and Appliances,Personal care appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Home Appliances,Led Light,Others,Electrical product,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Fans,Humidifiers & Dehumidifiers,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Storage Media,SSD Drive,IT,Desktop and Laptop,Spares and Parts Desktop and Laptop,SSD,,,Mobiles and Tablets,Mobile
Small Appliances,Power,Uninterruptable Power Supply,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Entertainment,Speakers,Speakers - Bluetooth/Portable,Electronics and Appliances,Home Appliances,Speaker,,,,Mobiles and Tablets,Mobile
Small Appliances,Health & Personal Care,Baby Care_L,Electronics and Appliances,Personal care appliances,Others,,,,Mobiles and Tablets,Mobile
Gaming,Toys,E-Wheelers,Others,Kid's and Baby products,Toys,,,,Mobiles and Tablets,Mobile
Small Appliances,Health & Personal Care,Fitness Machines,Electronics and Appliances,Personal care appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Cooling & Heating Appliances,Bed Warmer_L,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Cooling & Heating Appliances,Bed Warmer_H,Electronics and Appliances,Home Appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Health & Personal Care,Smart Health Devices_H,Electronics and Appliances,Personal care appliances,Others,,,,Mobiles and Tablets,Mobile
Small Appliances,Home Appliances,Solar Water Heater,Electronics and Appliances,Home Appliances,Water heater,,,,Mobiles and Tablets,Mobile
Small Appliances,Kitchen Appliances,Vegetable Cleaners/Purifiers,Others,Cleaning,Home cleaning,Kitchen Cleaner,,,Mobiles and Tablets,Mobile
Small Appliances,Pet Care,Pet Grooming,Others,,,,,,Mobiles and Tablets,Mobile
Small Appliances,Health & Personal Care,Face Masks,Electronics and Appliances,Personal care appliances,Others,,,,Mobiles and Tablets,Mobile
Computers Peripherals,PC Accessories,Projectors,IT,Projector,,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Networking,Switches and Splitters,IT,Networking products,Switch,,,,Mobiles and Tablets,Mobile
Small Appliances,Home Appliances,Sewing Machine,Electronics and Appliances,Home Appliances,Sewing machine,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Printers & Office Solutions,Printers 3D,IT,Printer,others,,,,Mobiles and Tablets,Mobile
Small Appliances,Solar Appliances,Solar Lighting,Others,Electrical product,Others,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Gaming Consoles and Accessories,X Box Games,IT,Desktop and Laptop,Others,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Gaming Consoles and Accessories,Sony Play Station - 3 Hardware,IT,Desktop and Laptop,Others,,,,Mobiles and Tablets,Mobile
Computers Peripherals,Gaming Consoles and Accessories,X-Box Live,IT,Desktop and Laptop,Others,,,,Mobiles and Tablets,Mobile
