Category L1,Category L2,Category L3,Category L4,Category L5,Category L6,Category Code
Electronics and Appliances,Home Appliances,Air conditioner,Split AC Full Set indoor and outdoor,,,CC1
Electronics and Appliances,Home Appliances,Air conditioner,Split AC indoor unit,,,CC2
Electronics and Appliances,Home Appliances,Air conditioner,Split AC Outdoor unit,,,CC3
Electronics and Appliances,Home Appliances,Air conditioner,Window AC,,,CC4
Electronics and Appliances,Home Appliances,Television,,,,CC5
Electronics and Appliances,Kitchen appliances,Refrigerator,,,,CC6
